Airport_ID,Name,Type,IATA
4650,Utirik Airport,small_airport,UTK
6924,Ocean Reef Club Airport,small_airport,OCA
7063,Pilot Station Airport,small_airport,PQS
7139,Crested Butte Airpark,small_airport,CSE
7545,LBJ Ranch Airport,small_airport,JCY
7830,Metropolitan Airport,small_airport,PMX
7866,Loring Seaplane Base,seaplane_base,WLR
7977,Nunapitchuk Airport,small_airport,NUP
7994,Port Alice Seaplane Base,seaplane_base,PTC
8126,Icy Bay Airport,small_airport,ICY
8159,Port Protection Seaplane Base,seaplane_base,PPV
8383,Kalakaket Creek AS Airport,small_airport,KKK
8566,Dunsmuir Muni-Mott Airport,small_airport,MHS
8753,Chase Field Industrial Airport,small_airport,NIR
8774,Grand Canyon Bar Ten Airstrip,small_airport,GCT
8775,Ellamar Seaplane Base,seaplane_base,ELW
9287,Lime Village Airport,small_airport,LVD
9294,Hog River Airport,small_airport,HGZ
20770,Ed-Air Airport,small_airport,OTN
9485,Telida Airport,small_airport,TLF
9776,Eagle Air Park,small_airport,BZT
9902,Entrance Island Seaplane Base,seaplane_base,HBH
10309,Blakely Island Airport,small_airport,BYW
10366,Drift River Airport,small_airport,DRF
10532,Rinkenberger Restricted Landing Area,small_airport,BDF
10856,Roy Otten Memorial Airfield,small_airport,VRS
10905,Golden Horn Lodge Seaplane Base,seaplane_base,GDH
11318,Atmautluak Airport,small_airport,ATT
11320,Livengood Camp Airport,small_airport,LIV
11485,Pedro Bay Airport,small_airport,PDB
11487,Ouzinkie Airport,small_airport,KOZ
11488,Tununak Airport,small_airport,TNK
11728,Ben Bruce Memorial Airpark,closed,EVA
11900,Minto Al Wright Airport,small_airport,MNT
12243,Aleknagik / New Airport,medium_airport,WKK
12560,Naknek Airport,small_airport,NNK
12764,Lake Brooks Seaplane Base,seaplane_base,BKF
13208,Catalina Air-Sea Terminal Heliport,heliport,SPQ
13405,East 34th Street Heliport,heliport,TSS
13485,Earl Henry Airport,small_airport,BWL
13997,Center Island Airport,small_airport,CWS
14173,Tatitlek Airport,small_airport,TEK
14270,Pine Island Airport,small_airport,DUF
14453,Stuart Island Airpark,small_airport,SSW
14559,Fort Bragg Airport,small_airport,FOB
14620,Port of Poulsbo Marina Moorage Seaplane Base,seaplane_base,PUL
14633,Century City Heliport,heliport,CCD
14642,Meyers Chuck Seaplane Base,seaplane_base,WMK
19113,Maxson Airfield,small_airport,AXB
15267,Reese Airpark,small_airport,REE
15300,Waldron Airstrip,small_airport,WDN
15514,Whale Pass Seaplane Float Harbor Facility,seaplane_base,WWP
15640,Chuathbaluk Airport,small_airport,CHU
15641,Ugashik Airport,small_airport,UGS
15656,Marlboro Airport,small_airport,MXG
15836,Philadelphia Seaplane Base,seaplane_base,PSQ
16069,Levelock Airport,small_airport,KLL
16074,Saginaw Seaplane Base,seaplane_base,SGW
16082,Tuntutuliak Airport,small_airport,WTL
16083,Twin Hills Airport,small_airport,TWA
16089,Chignik Lake Airport,small_airport,KCQ
324756,Adado Airport,small_airport,AAD
301645,Atkamba Airport,small_airport,ABP
321987,Abau Airport,closed,ABW
41841,Andorra la Vella Heliport,heliport,ALV
301695,Andakombe Airport,small_airport,ADC
309426,El Daein Airport,small_airport,ADV
313546,Jebel Ali Seaplane Base,seaplane_base,DJH
300307,Adareil Airport,small_airport,AEE
300646,Algeciras Heliport,heliport,AEI
299319,Aseki Airport,small_airport,AEK
330359,Ar Horqin Airport,small_airport,AEQ
35364,Orūzgān Airport,small_airport,URZ
35365,Salerno Airport,small_airport,OLR
309041,Kondavattavana Tank Seaplane Base,seaplane_base,AFK
301665,Afore Airstrip,small_airport,AFR
301649,Afutara Aerodrome,small_airport,AFT
302290,Ulawa Airport,small_airport,RNA
301650,Angoram Airport,small_airport,AGG
30634,Gwaunaru'u Airport,small_airport,AKS
302047,Bellona/Anua Airport,small_airport,BNY
30678,Ballalae Airport,small_airport,BAS
3,Honiara International Airport,medium_airport,HIR
301837,Avu Avu Airport,small_airport,AVU
31686,Ngorangora Airport,small_airport,IRA
32275,Santa Cruz/Graciosa Bay/Luova Airport,small_airport,SCZ
4,Munda Airport,medium_airport,MUA
31563,Nusatupe Airport,small_airport,GZO
299315,Ontong Java Atoll Airstrip,closed,OTV
308425,Santa Ana Airport,small_airport,NNB
302292,Yandina Airport,small_airport,XYA
301651,Kagua Airport,small_airport,AGK
35169,Kaghau Airport,small_airport,KGE
310179,Kukudu Airport,small_airport,KUE
308424,Kwailabesi Airport,small_airport,KWS
301652,Wanigela Airport,small_airport,AGL
310002,Nana Airport,small_airport,NAZ
306999,Tulaghi Heliport,heliport,TLG
314491,Argyle Downs Airport,small_airport,AGY
312371,Hongyuan Airport,medium_airport,AHJ
299321,Amchitka Army Airfield,closed,AHT
299324,Ambatolhy Airport,small_airport,AHY
