City,Country_Code,IATA,Latitude,Longitude,Altitude
Utirik Island,MH,UTK,11.222,169.852005,4
Key Largo,US,OCA,25.325399398804,-80.274803161621,8
Pilot Station,US,PQS,61.934601,-162.899994,305
Crested Butte,US,CSE,38.851918,-106.928341,8980
Johnson City,US,JCY,30.251800537100003,-98.62249755859999,1515
Palmer,US,PMX,42.223300933800004,-72.31140136719999,418
Loring,US,WLR,55.6012992859,-131.636993408,0
Nunapitchuk,US,NUP,60.905591,-162.440454,12
Port Alice,US,PTC,55.803,-133.597,0
Icy Bay,US,ICY,59.96900177,-141.662002563,50
Port Protection,US,PPV,56.328800201416,-133.61000061035,0
Kalakaket Creek,US,KKK,64.4166256967,-156.820392609,1598
Dunsmuir,US,MHS,41.263199,-122.272003,3258
Beeville,US,NIR,28.362444,-97.661917,190
Whitmore,US,GCT,36.259701,-113.231003,4100
Ellamar,US,ELW,60.893818,-146.704038,0
Lime Village,US,LVD,61.3591003418,-155.440002441,552
Hogatza,US,HGZ,66.2161026,-155.6690063,534
Oaktown,US,OTN,38.851398468,-87.4997024536,426
Telida,US,TLF,63.393901824951,-153.26899719238,650
Brazoria,US,BZT,28.982200622559,-95.579696655273,15
Entrance Island,US,HBH,57.412201,-133.43848,0
Blakely Island,US,BYW,48.578998565700005,-122.825996399,66
Kenai,US,DRF,60.588901519800004,-152.162002563,30
Bradford,US,BDF,41.230899810800004,-89.61569976810001,808
Versailles,US,VRS,38.427799224854,-92.875198364258,1030
Golden Horn Lodge,US,GDH,59.7470016479,-158.875,91
Atmautluak,US,ATT,60.866699,-162.272995,17
Livengood,US,LIV,65.467,-148.6534,425
Pedro Bay,US,PDB,59.7896003723,-154.12399292,45
Ouzinkie,US,KOZ,57.925362,-152.496715,55
Tununak,US,TNK,60.575500488281,-165.27200317383,14
Evadale,US,EVA,30.3209991455,-94.07350158690001,44
Minto,US,MNT,65.1437,-149.369995,460
Aleknagik,US,WKK,59.2826004028,-158.617996216,66
Naknek,US,NNK,58.732898712158,-157.02000427246,70
Katmai National Park,US,BKF,58.554798126221,-155.77699279785,36
San Pedro,US,SPQ,33.7491989136,-118.275001526,5
New York,US,TSS,40.74259948730469,-73.97209930419922,10
Blackwell,US,BWL,36.7958984375,-97.3170013428,1054
Center Island,US,CWS,48.4901008606,-122.832000732,115
Tatitlek,US,TEK,60.871449,-146.690297,62
Corolla,US,DUF,36.2535018921,-75.7884979248,16
Stuart Island,US,SSW,48.672901153564,-123.17600250244,10
Fort Bragg,US,FOB,39.4743003845,-123.79599762,71
Poulsbo,US,PUL,47.734001159668,-122.64700317383,0
Los Angeles,US,CCD,34.060798645,-118.417999268,473
Meyers Chuck,US,WMK,55.7396011353,-132.255004883,0
Alexandria Bay,US,AXB,44.312002,-75.90034,340
Lubbock,US,REE,33.590301513672,-102.03700256348,3338
East Sound,US,WDN,48.7118,-123.017998,140
Whale Pass,US,WWP,56.116299,-133.121994,0
Chuathbaluk,US,CHU,61.579102,-159.216003,244
Ugashik,US,UGS,57.5279006958,-157.399002075,25
Marlboro,US,MXG,42.343201,-71.509002,285
Essington,US,PSQ,39.859001159668,-75.299598693848,0
Levelock,US,KLL,59.128101348899996,-156.85899353,39
Saginaw Bay,US,SGW,56.8862991333,-134.158004761,0
Tuntutuliak,US,WTL,60.3353004456,-162.667007446,16
Twin Hills,US,TWA,59.07559967041,-160.27299499512,82
Chignik Lake,US,KCQ,56.2550010681,-158.774993896,50
Adado,SO,AAD,6.095802,46.6375,1001
Atkamba Mission,PG,ABP,-6.0655555555600005,141.095277778,150
Abau,PG,ABW,-10.1956,148.7389,10
Andorra La Vella,AD,ALV,42.511174,1.533551,3450
Andekombe,PG,ADC,-7.13722222222,145.744722222,3600
El Daein,SD,ADV,11.4023,26.1186,1560
Jebel Ali,AE,DJH,24.988967,55.023796,0
,SS,AEE,10.0536111111,32.9594444444,1301
Algeciras,ES,AEI,36.12888,-5.441118,98
Aseki,PG,AEK,-7.35080485552,146.19386673,4106
Chifeng,CN,AEQ,43.87042,120.15958,1335
Orūzgān,AF,URZ,32.9029998779,66.630897522,6725
Khost,AF,OLR,33.3638,69.9561,3780
Ampara,LK,AFK,7.284,81.644,95
,PG,AFR,-9.142222222220001,148.390833333,2500
Bila,SB,AFT,-9.19138888889,160.948611111,23
Arona,SB,RNA,-9.86054358262,161.979546547,40
Angoram,PG,AGG,-4.05583333333,144.073888889,75
Auki,SB,AKS,-8.70257,160.682007,5
Anua,SB,BNY,-11.302222222200001,159.798333333,60
Ballalae,SB,BAS,-6.990745,155.886656,5
Honiara,SB,HIR,-9.4280004501343,160.05499267578,28
,SB,AVU,-9.86833333333,160.410555556,25
Kirakira,SB,IRA,-10.449700355500001,161.897994995,54
Santa Cruz/Graciosa Bay/Luova,SB,SCZ,-10.72029972076416,165.7949981689453,18
,SB,MUA,-8.327969551086426,157.26300048828125,10
Gizo,SB,GZO,-8.09778022766,156.863998413,13
Ontong Java Atoll,SB,OTV,-5.515,159.527778,10
Santa Ana Island,SB,NNB,-10.847994,162.454108,3
Yandina,SB,XYA,-9.092816,159.21841,60
Kagua,PG,AGK,-6.396388888890001,143.853611111,5350
Kagau Island,SB,KGE,-7.3305,157.585,30
Kolombangara Island,SB,KUE,-8.0262,156.94783,32
Kwailabesi,SB,KWS,-8.360508,160.775127,52
,PG,AGL,-9.3375,149.155555556,53
Star Harbor,SB,NAZ,-10.6758,162.2049,60
Tulaghi Island,SB,TLG,-9.108,160.149166667,3
Argyle Downs,AU,AGY,-16.514,128.9245,407
Aba,CN,AHJ,32.53154,102.35224,11600
Amchitka Island,US,AHT,51.3777777778,179.259166667,215
Ambatolahy,MG,AHY,-20.015833333299998,45.535,340
Aiome,PG,AIE,-5.145699978,144.7307003,350
Aiambak,PG,AIH,-7.342777777779999,141.2675,90
Bigatyelang Island,MH,AIC,7.279422,168.8257,16
Chena Hot Springs,US,CEX,65.0518035889,-146.04699707,1195
Solomon,US,SOL,64.5605,-164.4457,25
Herendeen Bay,US,HED,55.801399231,-160.899002075,20
Taylor,US,TWE,65.6792984009,-164.798995972,440
Tikchik,US,KTH,59.9631996155,-158.477005005,304
Tuxekan Island,US,NKI,55.849602,-133.227994,0
Lonely,US,LNI,70.91069794,-153.2420044,17
Candle,US,CDL,65.907699585,-161.925994873,15
Egegik,US,BSZ,58.2162017822,-157.352005005,50
Boswell Bay,US,BSW,60.4230995178,-146.145996094,230
ZaKouma,TD,AKM,10.8902777778,19.8172222222,1370
Tuskegee,US,TGE,32.4919013977,-85.7755966187,253
Puerto Peñasco,MX,PPE,31.351987,-113.305177,71
Alto Molocue,MZ,AME,-15.6102777778,37.6813888889,1950
,PG,AMF,-4.10111111111,141.67,145
Amanab,PG,AMU,-3.586,141.214333333,1307
,MG,AMY,-17.6866666667,45.623888888900005,1025
Anhua Island,SB,ANH,-9.00138888889,160.225,22
Yaren District,NR,INU,-0.547458,166.919006,22
Angus Downs Station,AU,ANZ,-25.0325,132.2748,1724
Cangamba,AO,CNZ,-13.7106,19.861099,3894
Dirico,AO,DRC,-17.981924057006836,20.7680606842041,3504
Lumbala,AO,GGC,-12.6398773193,22.5868206024,3510
Jamba,AO,JMB,-14.698192596435547,16.070148468017578,4912
Capanda,AO,KNP,-9.76937007904,15.4553194046,3366
Ndalatandos,AO,NDF,-9.275188446044922,14.977242469787598,2684
Agevairu,PG,AOA,-9.0254,146.8,20
,PG,AOB,-4.90416666667,144.635833333,130
Abou-Deïa,TD,AOD,11.4773,19.2874,1592
,PG,APP,-8.97916666667,148.103611111,1930
April River,PG,APR,-4.67666666667,142.540138889,220
Girdwood,US,AQY,60.966099,-149.126007,150
Bragado,AR,QRF,-35.144,-60.4803,196
Caleta Olivia,AR,CVI,-46.4318008423,-67.5186004639,37
Charata,AR,CNT,-27.2164,-61.2103,318
General Villegas,AR,VGS,-35,-63,383
Los Menucos,AR,LMD,-40.817699,-68.074699,2571
Presidencia Roque Sáenz Peña,AR,SZQ,-26.815799713134766,-60.448299407958984,20
Valcheta,AR,VCF,-40.7000007629,-66.1500015259,629
Sunchales,AR,NCJ,-30.9575,-61.5283,311
Carmen de Patagones,AR,CPG,-40.7781,-62.9803,131
Presidencia Roque Sáenz Peña,AR,PRQ,-26.753611,-60.492222,308
Sarmiento,AR,OLN,-45.582371,-68.999841,877
,PG,ARP,-9.88333333333,149.483333333,1750
Asbury Park,US,ARX,40.2193055556,-74.0908333333,95
Tau Village,AS,TAV,-14.2292003632,-169.511001587,185
,PG,ASZ,-6.009722222220001,150.368611111,1050
Namatanai,PG,ATN,-3.6695,152.438,150
Aitape,PG,ATP,-3.1436111111100002,142.346805556,10
Lady Elliot Island,AU,LYT,-24.1129,152.7156,20
Baniyala,AU,BYX,-13.19810009,136.227005005,20
Orchid Beach,AU,OKB,-24.959400177002,153.31500244141,71
Peppimenarti,AU,PEP,-14.144200325,130.091003418,83
Tom Price,AU,TPR,-22.746000289900003,117.869003296,2300
Aua Island,PG,AUI,-1.46055555556,143.064722222,4
Ambunti,PG,AUJ,-4.21566666667,142.823166667,50
,PG,AUP,-9.930833,149.385667,3200
Aumo,PG,AUV,-5.731111111110001,148.445277778,450
Wonga Wongué Presidential Reserve,GA,AWE,-0.545,9.444,600
Awar,PG,AWR,-4.124,144.853,35
Bayanhot,CN,AXF,38.74831,105.58858,4560
