Airport_ID,Name,Type,City,Country_Code,IATA,Latitude,Longitude,Altitude
4650,Utirik Airport,small_airport,Utirik Island,MH,UTK,11.222,169.852005,4
6924,Ocean Reef Club Airport,small_airport,Key Largo,US,OCA,25.325399398804,-80.274803161621,8
7063,Pilot Station Airport,small_airport,Pilot Station,US,PQS,61.934601,-162.899994,305
7139,Crested Butte Airpark,small_airport,Crested Butte,US,CSE,38.851918,-106.928341,8980
7545,LBJ Ranch Airport,small_airport,Johnson City,US,JCY,30.251800537100003,-98.62249755859999,1515
7830,Metropolitan Airport,small_airport,Palmer,US,PMX,42.223300933800004,-72.31140136719999,418
7866,Loring Seaplane Base,seaplane_base,Loring,US,WLR,55.6012992859,-131.636993408,0
7977,Nunapitchuk Airport,small_airport,Nunapitchuk,US,NUP,60.905591,-162.440454,12
7994,Port Alice Seaplane Base,seaplane_base,Port Alice,US,PTC,55.803,-133.597,0
8126,Icy Bay Airport,small_airport,Icy Bay,US,ICY,59.96900177,-141.662002563,50
8159,Port Protection Seaplane Base,seaplane_base,Port Protection,US,PPV,56.328800201416,-133.61000061035,0
8383,Kalakaket Creek AS Airport,small_airport,Kalakaket Creek,US,KKK,64.4166256967,-156.820392609,1598
8566,Dunsmuir Muni-Mott Airport,small_airport,Dunsmuir,US,MHS,41.263199,-122.272003,3258
8753,Chase Field Industrial Airport,small_airport,Beeville,US,NIR,28.362444,-97.661917,190
8774,Grand Canyon Bar Ten Airstrip,small_airport,Whitmore,US,GCT,36.259701,-113.231003,4100
8775,Ellamar Seaplane Base,seaplane_base,Ellamar,US,ELW,60.893818,-146.704038,0
9287,Lime Village Airport,small_airport,Lime Village,US,LVD,61.3591003418,-155.440002441,552
9294,Hog River Airport,small_airport,Hogatza,US,HGZ,66.2161026,-155.6690063,534
20770,Ed-Air Airport,small_airport,Oaktown,US,OTN,38.851398468,-87.4997024536,426
9485,Telida Airport,small_airport,Telida,US,TLF,63.393901824951,-153.26899719238,650
